Company Name,Symbol,Serial Number,2022-23 Status,2022-23 Filename,2023-24 Status,2023-24 Filename,2024-25 Status,2024-25 Filename
Metropolis Healthcare,METROPOLIS,318,Not Found,,Not Found,,Not Found,
Minda Corporation,MINDACORP,319,Not Found,,Not Found,,Not Found,
Motherson Sumi Wiring India,MSUMI,320,Not Found,,Not Found,,Not Found,
Motilal Oswal Financial Services,MOTILALOFS,321,Not Found,,Not Found,,Not Found,
MphasiS,MPHASIS,322,Not Found,,Not Found,,Not Found,
Multi Commodity Exchange of India,MCX,323,Not Found,,Not Found,,Not Found,
Muthoot Finance,MUTHOOTFIN,324,Not Found,,Not Found,,Not Found,
NATCO Pharma,NATCOPHARM,325,Not Found,,Not Found,,Not Found,
NBCC (India),NBCC,326,Not Found,,Not Found,,Not Found,
NCC,NCC,327,Not Found,,Not Found,,Not Found,
NHPC,NHPC,328,Not Found,,Not Found,,Not Found,
NLC India,NLCINDIA,329,Not Found,,Not Found,,Not Found,
NMDC,NMDC,330,Not Found,,Not Found,,Not Found,
NMDC Steel,NSLNISP,331,Not Found,,Not Found,,Not Found,
NTPC Green Energy,NTPCGREEN,332,Not Found,,Not Found,,Not Found,
NTPC,NTPC,333,Not Found,,Not Found,,Not Found,
Narayana Hrudayalaya,NH,334,Not Found,,Not Found,,Not Found,
National Aluminium Co.,NATIONALUM,335,Not Found,,Not Found,,Not Found,
Nava,NAVA,336,Not Found,,Not Found,,Not Found,
Navin Fluorine International,NAVINFLUOR,337,Not Found,,Not Found,,Not Found,
Nestle India,NESTLEIND,338,Not Found,,Not Found,,Not Found,
Netweb Technologies India,NETWEB,339,Not Found,,Not Found,,Not Found,
Network18 Media & Investments,NETWORK18,340,Not Found,,Not Found,,Not Found,
Neuland Laboratories,NEULANDLAB,341,Not Found,,Not Found,,Not Found,
Newgen Software Technologies,NEWGEN,342,Not Found,,Not Found,,Not Found,
Nippon Life India Asset Management,NAM-INDIA,343,Not Found,,Not Found,,Not Found,
Niva Bupa Health Insurance Company,NIVABUPA,344,Not Found,,Not Found,,Not Found,
Nuvama Wealth Management,NUVAMA,345,Not Found,,Not Found,,Not Found,
Oberoi Realty,OBEROIRLTY,346,Not Found,,Not Found,,Not Found,
Oil & Natural Gas Corporation,ONGC,347,Not Found,,Not Found,,Not Found,
Oil India,OIL,348,Not Found,,Not Found,,Not Found,
Ola Electric Mobility,OLAELEC,349,Not Found,,Not Found,,Not Found,
Olectra Greentech,OLECTRA,350,Not Found,,Not Found,,Not Found,
One 97 Communications,PAYTM,351,Not Found,,Not Found,,Not Found,
Oracle Financial Services Software,OFSS,352,Not Found,,Not Found,,Not Found,
PB Fintech,POLICYBZR,353,Not Found,,Not Found,,Not Found,
PCBL Chemical,PCBL,354,Not Found,,Not Found,,Not Found,
PG Electroplast,PGEL,355,Not Found,,Not Found,,Not Found,
PI Industries,PIIND,356,Not Found,,Not Found,,Not Found,
PNB Housing Finance,PNBHOUSING,357,Not Found,,Not Found,,Not Found,
PNC Infratech,PNCINFRA,358,Not Found,,Not Found,,Not Found,
PTC Industries,PTCIL,359,Not Found,,Not Found,,Not Found,
PVR INOX,PVRINOX,360,Not Found,,Not Found,,Not Found,
Page Industries,PAGEIND,361,Not Found,,Not Found,,Not Found,
Patanjali Foods,PATANJALI,362,Not Found,,Not Found,,Not Found,
Persistent Systems,PERSISTENT,363,Not Found,,Not Found,,Not Found,
Petronet LNG,PETRONET,364,Not Found,,Not Found,,Not Found,
Pfizer,PFIZER,365,Not Found,,Not Found,,Not Found,
Phoenix Mills,PHOENIXLTD,366,Not Found,,Not Found,,Not Found,
Pidilite Industries,PIDILITIND,367,Not Found,,Not Found,,Not Found,
Piramal Enterprises,PEL,368,Not Found,,Not Found,,Not Found,
Piramal Pharma,PPLPHARMA,369,Not Found,,Not Found,,Not Found,
Poly Medicure,POLYMED,370,Not Found,,Not Found,,Not Found,
Polycab India,POLYCAB,371,Not Found,,Not Found,,Not Found,
Poonawalla Fincorp,POONAWALLA,372,Not Found,,Not Found,,Not Found,
Power Finance Corporation,PFC,373,Not Found,,Not Found,,Not Found,
Power Grid Corporation of India,POWERGRID,374,Not Found,,Not Found,,Not Found,
Praj Industries,PRAJIND,375,Not Found,,Not Found,,Not Found,
Premier Energies,PREMIERENE,376,Not Found,,Not Found,,Not Found,
Prestige Estates Projects,PRESTIGE,377,Not Found,,Not Found,,Not Found,
Punjab National Bank,PNB,378,Not Found,,Not Found,,Not Found,
R R Kabel,RRKABEL,379,Not Found,,Not Found,,Not Found,
RBL Bank,RBLBANK,380,Not Found,,Not Found,,Not Found,
REC,RECLTD,381,Not Found,,Not Found,,Not Found,
RHI MAGNESITA INDIA LTD.,RHIM,382,Not Found,,Not Found,,Not Found,
RITES,RITES,383,Not Found,,Not Found,,Not Found,
Radico Khaitan Ltd,RADICO,384,Not Found,,Not Found,,Not Found,
Rail Vikas Nigam,RVNL,385,Not Found,,Not Found,,Not Found,
Railtel Corporation Of India,RAILTEL,386,Not Found,,Not Found,,Not Found,
Rainbow Childrens Medicare,RAINBOW,387,Not Found,,Not Found,,Not Found,
Ramkrishna Forgings,RKFORGE,388,Not Found,,Not Found,,Not Found,
Rashtriya Chemicals & Fertilizers,RCF,389,Not Found,,Not Found,,Not Found,
RattanIndia Enterprises,RTNINDIA,390,Not Found,,Not Found,,Not Found,
Raymond Lifestyle,RAYMONDLSL,391,Not Found,,Not Found,,Not Found,
Raymond,RAYMOND,392,Not Found,,Not Found,,Not Found,
Redington,REDINGTON,393,Not Found,,Not Found,,Not Found,
Reliance Industries,RELIANCE,394,Not Found,,Not Found,,Not Found,
Reliance Power,RPOWER,395,Not Found,,Not Found,,Not Found,
Route Mobile,ROUTE,396,Not Found,,Not Found,,Not Found,
SBFC Finance,SBFC,397,Not Found,,Not Found,,Not Found,
SBI Cards and Payment Services,SBICARD,398,Not Found,,Not Found,,Not Found,
SBI Life Insurance Company,SBILIFE,399,Not Found,,Not Found,,Not Found,
SJVN,SJVN,400,Not Found,,Not Found,,Not Found,
SKF India,SKFINDIA,401,Not Found,,Not Found,,Not Found,
SRF,SRF,402,Not Found,,Not Found,,Not Found,
Sagility India,SAGILITY,403,Not Found,,Not Found,,Not Found,
Sai Life Sciences,SAILIFE,404,Not Found,,Not Found,,Not Found,
Sammaan Capital,SAMMAANCAP,405,Not Found,,Not Found,,Not Found,
Samvardhana Motherson International,MOTHERSON,406,Not Found,,Not Found,,Not Found,
Sapphire Foods India,SAPPHIRE,407,Not Found,,Not Found,,Not Found,
Sarda Energy and Minerals,SARDAEN,408,Not Found,,Not Found,,Not Found,
Saregama India Ltd,SAREGAMA,409,Not Found,,Not Found,,Not Found,
Schaeffler India,SCHAEFFLER,410,Not Found,,Not Found,,Not Found,
Schneider Electric Infrastructure,SCHNEIDER,411,Not Found,,Not Found,,Not Found,
Shipping Corporation of India,SCI,412,Not Found,,Not Found,,Not Found,
Shree Cement,SHREECEM,413,Not Found,,Not Found,,Not Found,
Shree Renuka Sugars,RENUKA,414,Not Found,,Not Found,,Not Found,
Shriram Finance,SHRIRAMFIN,415,Not Found,,Not Found,,Not Found,
Shyam Metalics and Energy,SHYAMMETL,416,Not Found,,Not Found,,Not Found,
Siemens,SIEMENS,417,Not Found,,Not Found,,Not Found,
Signatureglobal (India),SIGNATURE,418,Not Found,,Not Found,,Not Found,
Sobha,SOBHA,419,Not Found,,Not Found,,Not Found,
Solar Industries India,SOLARINDS,420,Not Found,,Not Found,,Not Found,
Sona BLW Precision Forgings,SONACOMS,421,Not Found,,Not Found,,Not Found,
Sonata Software,SONATSOFTW,422,Not Found,,Not Found,,Not Found,
Star Health and Allied Insurance Company,STARHEALTH,423,Not Found,,Not Found,,Not Found,
State Bank of India,SBIN,424,Not Found,,Not Found,,Not Found,
Steel Authority of India,SAIL,425,Not Found,,Not Found,,Not Found,
Sterling and Wilson Renewable Energy,SWSOLAR,426,Not Found,,Not Found,,Not Found,
Sumitomo Chemical India,SUMICHEM,427,Not Found,,Not Found,,Not Found,
Sun Pharmaceutical Industries,SUNPHARMA,428,Not Found,,Not Found,,Not Found,
Sun TV Network,SUNTV,429,Not Found,,Not Found,,Not Found,
Sundaram Finance,SUNDARMFIN,430,Not Found,,Not Found,,Not Found,
Sundram Fasteners,SUNDRMFAST,431,Not Found,,Not Found,,Not Found,
Supreme Industries,SUPREMEIND,432,Not Found,,Not Found,,Not Found,
Suzlon Energy,SUZLON,433,Not Found,,Not Found,,Not Found,
Swan Corp,SWANCORP,434,Not Found,,Not Found,,Not Found,
Swiggy,SWIGGY,435,Not Found,,Not Found,,Not Found,
Syngene International,SYNGENE,436,Not Found,,Not Found,,Not Found,
Syrma SGS Technology,SYRMA,437,Not Found,,Not Found,,Not Found,
TBO Tek,TBOTEK,438,Not Found,,Not Found,,Not Found,
TVS Motor Company,TVSMOTOR,439,Not Found,,Not Found,,Not Found,
Tanla Platforms,TANLA,440,Not Found,,Not Found,,Not Found,
Tata Chemicals,TATACHEM,441,Not Found,,Not Found,,Not Found,
Tata Communications,TATACOMM,442,Not Found,,Not Found,,Not Found,
Tata Consultancy Services,TCS,443,Not Found,,Not Found,,Not Found,
Tata Consumer Products,TATACONSUM,444,Not Found,,Not Found,,Not Found,
Tata Elxsi,TATAELXSI,445,Not Found,,Not Found,,Not Found,
Tata Investment Corporation,TATAINVEST,446,Not Found,,Not Found,,Not Found,
Tata Motors,TATAMOTORS,447,Not Found,,Not Found,,Not Found,
Tata Power Co.,TATAPOWER,448,Not Found,,Not Found,,Not Found,
Tata Steel,TATASTEEL,449,Not Found,,Not Found,,Not Found,
Tata Technologies,TATATECH,450,Not Found,,Not Found,,Not Found,
Tata Teleservices (Maharashtra),TTML,451,Not Found,,Not Found,,Not Found,
Tech Mahindra,TECHM,452,Not Found,,Not Found,,Not Found,
Techno Electric & Engineering Company,TECHNOE,453,Not Found,,Not Found,,Not Found,
Tejas Networks,TEJASNET,454,Not Found,,Not Found,,Not Found,
The New India Assurance Company,NIACL,455,Not Found,,Not Found,,Not Found,
The Ramco Cements,RAMCOCEM,456,Not Found,,Not Found,,Not Found,
Thermax,THERMAX,457,Not Found,,Not Found,,Not Found,
Timken India,TIMKEN,458,Not Found,,Not Found,,Not Found,
Titagarh Rail Systems,TITAGARH,459,Not Found,,Not Found,,Not Found,
Titan Company,TITAN,460,Not Found,,Not Found,,Not Found,
Torrent Pharmaceuticals,TORNTPHARM,461,Not Found,,Not Found,,Not Found,
Torrent Power,TORNTPOWER,462,Not Found,,Not Found,,Not Found,
Transformers And Rectifiers (India),TARIL,463,Not Found,,Not Found,,Not Found,
Trent,TRENT,464,Not Found,,Not Found,,Not Found,
Trident,TRIDENT,465,Not Found,,Not Found,,Not Found,
Triveni Engineering & Industries,TRIVENI,466,Not Found,,Not Found,,Not Found,
Triveni Turbine,TRITURBINE,467,Not Found,,Not Found,,Not Found,
Tube Investments of India,TIINDIA,468,Not Found,,Not Found,,Not Found,
UCO Bank,UCOBANK,469,Not Found,,Not Found,,Not Found,
UNO Minda,UNOMINDA,470,Not Found,,Not Found,,Not Found,
UPL,UPL,471,Not Found,,Not Found,,Not Found,
UTI Asset Management Company,UTIAMC,472,Not Found,,Not Found,,Not Found,
UltraTech Cement,ULTRACEMCO,473,Not Found,,Not Found,,Not Found,
Union Bank of India,UNIONBANK,474,Not Found,,Not Found,,Not Found,
United Breweries,UBL,475,Not Found,,Not Found,,Not Found,
United Spirits,UNITDSPR,476,Not Found,,Not Found,,Not Found,
Usha Martin,USHAMART,477,Not Found,,Not Found,,Not Found,
V-Guard Industries,VGUARD,478,Not Found,,Not Found,,Not Found,
Valor Estate,DBREALTY,479,Not Found,,Not Found,,Not Found,
Vardhman Textiles,VTL,480,Not Found,,Not Found,,Not Found,
Varun Beverages,VBL,481,Not Found,,Not Found,,Not Found,
Vedant Fashions,MANYAVAR,482,Not Found,,Not Found,,Not Found,
Vedanta,VEDL,483,Not Found,,Not Found,,Not Found,
Vijaya Diagnostic Centre,VIJAYA,484,Not Found,,Not Found,,Not Found,
Vishal Mega Mart,VMM,485,Not Found,,Not Found,,Not Found,
Vodafone Idea,IDEA,486,Renamed,486_Vodafone Idea Ltd._2022_2023.pdf,Renamed,486_Vodafone Idea Ltd._2023_2024.pdf,Renamed,486_Vodafone Idea Ltd._2024_2025.pdf
Voltas,VOLTAS,487,Not Found,,Not Found,,Not Found,
Waaree Energies,WAAREEENER,488,Not Found,,Not Found,,Not Found,
Welspun Corp,WELCORP,489,Not Found,,Not Found,,Not Found,
Welspun Living,WELSPUNLIV,490,Not Found,,Not Found,,Not Found,
Westlife Foodworld,WESTLIFE,491,Not Found,,Not Found,,Not Found,
Whirlpool of India,WHIRLPOOL,492,Not Found,,Not Found,,Not Found,
Wipro,WIPRO,493,Renamed,493_Wipro Ltd._2022_2023.pdf,Renamed,493_Wipro Ltd._2023_2024.pdf,Renamed,493_Wipro Ltd._2024_2025.pdf
Wockhardt,WOCKPHARMA,494,Not Found,,Not Found,,Not Found,
Yes Bank,YESBANK,495,Renamed,495_Yes Bank Ltd._2022_2023.pdf,Renamed,495_Yes Bank Ltd._2023_2024.pdf,Renamed,495_Yes Bank Ltd._2024_2025.pdf
ZF Commercial Vehicle Control Systems India,ZFCVINDIA,496,Not Found,,Not Found,,Not Found,
Zee Entertainment Enterprises,ZEEL,497,Not Found,,Not Found,,Not Found,
Zen Technologies,ZENTEC,498,Not Found,,Not Found,,Not Found,
Zensar Technolgies,ZENSARTECH,499,Not Found,,Not Found,,Not Found,
Zydus Lifesciences,ZYDUSLIFE,500,Renamed,500_Zydus Lifesciences Ltd._2022_2023.pdf,Not Found,,Not Found,
eClerx Services,ECLERX,501,Not Found,,Not Found,,Not Found,
