Company Name,Symbol,Serial Number,2022-23 Status,2022-23 Filename,2023-24 Status,2023-24 Filename,2024-25 Status,2024-25 Filename
Astral,ASTRAL,50,Not Found,,Renamed,50_Astral Ltd._2023_2024.pdf,Not Found,
Atul,ATUL,51,Not Found,,Not Found,,Renamed,51_Atul Ltd._2024_2025.pdf
Aurobindo Pharma,AUROPHARMA,52,Not Found,,Not Found,,Not Found,
Authum Investment & Infrastructure,AIIL,53,Not Found,,Not Found,,Not Found,
Avenue Supermarts,DMART,54,Not Found,,Not Found,,Not Found,
Axis Bank,AXISBANK,55,Renamed,55_Axis Bank Ltd._2022_2023.pdf,Renamed,55_Axis Bank Ltd._2023_2024.pdf,Renamed,55_Axis Bank Ltd._2024_2025.pdf
BASF India,BASF,56,Not Found,,Not Found,,Not Found,
BEML,BEML,57,Not Found,,Renamed,57_BEML Ltd._2023_2024.pdf,Not Found,
BLS International Services,BLS,58,Not Found,,Not Found,,Not Found,
BSE,BSE,59,Not Found,,Not Found,,Not Found,
Bajaj Auto,BAJAJ-AUTO,60,Not Found,,Not Found,,Renamed,60_Bajaj Auto Ltd._2024_2025.pdf
Bajaj Finance,BAJFINANCE,61,Not Found,,Not Found,,Not Found,
Bajaj Finserv,BAJAJFINSV,62,Not Found,,Not Found,,Renamed,62_Bajaj Finserv Ltd._2024_2025.pdf
Bajaj Holdings & Investment,BAJAJHLDNG,63,Not Found,,Not Found,,Not Found,
Bajaj Housing Finance,BAJAJHFL,64,Not Found,,Not Found,,Not Found,
Balkrishna Industries,BALKRISIND,65,Not Found,,Not Found,,Not Found,
Balrampur Chini Mills,BALRAMCHIN,66,Not Found,,Not Found,,Not Found,
Bandhan Bank,BANDHANBNK,67,Not Found,,Not Found,,Not Found,
Bank of Baroda,BANKBARODA,68,Renamed,68_Bank of Baroda_2022_2023.pdf,Not Found,,Not Found,
Bank of India,BANKINDIA,69,Renamed,69_Bank of India_2022_2023.pdf,Renamed,69_Bank of India_2023_2024.pdf,Renamed,69_Bank of India_2024_2025.pdf
Bank of Maharashtra,MAHABANK,70,Not Found,,Not Found,,Not Found,
Bata India,BATAINDIA,71,Not Found,,Renamed,71_Bata India Ltd._2023_2024.pdf,Not Found,
Bayer Cropscience,BAYERCROP,72,Not Found,,Not Found,,Not Found,
Berger Paints India,BERGEPAINT,73,Not Found,,Not Found,,Not Found,
Bharat Dynamics,BDL,74,Not Found,,Not Found,,Not Found,
Bharat Electronics,BEL,75,Not Found,,Not Found,,Not Found,
Bharat Forge,BHARATFORG,76,Not Found,,Not Found,,Not Found,
Bharat Heavy Electricals,BHEL,77,Not Found,,Not Found,,Not Found,
Bharat Petroleum Corporation,BPCL,78,Not Found,,Not Found,,Not Found,
Bharti Airtel,BHARTIARTL,79,Not Found,,Not Found,,Not Found,
Bharti Hexacom,BHARTIHEXA,80,Not Found,,Not Found,,Not Found,
Bikaji Foods International,BIKAJI,81,Not Found,,Not Found,,Not Found,
Biocon,BIOCON,82,Not Found,,Not Found,,Not Found,
Birlasoft,BSOFT,83,Not Found,,Not Found,,Not Found,
Blue Dart Express,BLUEDART,84,Not Found,,Not Found,,Not Found,
Blue Star,BLUESTARCO,85,Not Found,,Not Found,,Not Found,
Bombay Burmah Trading Corporation,BBTC,86,Not Found,,Not Found,,Not Found,
Bosch,BOSCHLTD,87,Renamed,87_Bosch Ltd._2022_2023.pdf,Renamed,87_Bosch Ltd._2023_2024.pdf,Renamed,87_Bosch Ltd._2024_2025.pdf
Brainbees Solutions,FIRSTCRY,88,Not Found,,Not Found,,Not Found,
Brigade Enterprises,BRIGADE,89,Not Found,,Not Found,,Not Found,
Britannia Industries,BRITANNIA,90,Not Found,,Not Found,,Not Found,
C.E. Info Systems,MAPMYINDIA,91,Not Found,,Not Found,,Not Found,
CCL Products (I),CCL,92,Not Found,,Not Found,,Not Found,
CESC,CESC,93,Not Found,,Not Found,,Not Found,
CG Power and Industrial Solutions,CGPOWER,94,Not Found,,Not Found,,Not Found,
CRISIL,CRISIL,95,Not Found,,Not Found,,Not Found,
Campus Activewear,CAMPUS,96,Not Found,,Not Found,,Not Found,
Can Fin Homes,CANFINHOME,97,Not Found,,Not Found,,Not Found,
Canara Bank,CANBK,98,Renamed,98_Canara Bank_2022_2023.pdf,Renamed,98_Canara Bank_2023_2024.pdf,Renamed,98_Canara Bank_2024_2025.pdf
Caplin Point Laboratories,CAPLIPOINT,99,Not Found,,Not Found,,Not Found,
Capri Global Capital,CGCL,100,Not Found,,Not Found,,Not Found,
Carborundum Universal,CARBORUNIV,101,Not Found,,Not Found,,Not Found,
Castrol India,CASTROLIND,102,Renamed,102_Castrol India Ltd._2022_2023.pdf,Renamed,102_Castrol India Ltd._2023_2024.pdf,Renamed,102_Castrol India Ltd._2024_2025.pdf
Ceat,CEATLTD,103,Not Found,,Not Found,,Not Found,
Central Bank of India,CENTRALBK,104,Not Found,,Not Found,,Not Found,
Central Depository Services (India),CDSL,105,Not Found,,Not Found,,Not Found,
Century Plyboards (India),CENTURYPLY,106,Not Found,,Not Found,,Not Found,
Cera Sanitaryware Ltd,CERA,107,Not Found,,Not Found,,Not Found,
Chalet Hotels,CHALET,108,Not Found,,Not Found,,Not Found,
Chambal Fertilizers & Chemicals,CHAMBLFERT,109,Not Found,,Not Found,,Not Found,
Chennai Petroleum Corporation,CHENNPETRO,110,Not Found,,Not Found,,Not Found,
Cholamandalam Financial Holdings,CHOLAHLDNG,111,Not Found,,Not Found,,Not Found,
Cholamandalam Investment and Finance Company,CHOLAFIN,112,Not Found,,Not Found,,Not Found,
Cipla,CIPLA,113,Not Found,,Not Found,,Not Found,
City Union Bank,CUB,114,Not Found,,Not Found,,Not Found,
Clean Science and Technology,CLEAN,115,Renamed,115_Clean Science and Technology Ltd._2022_2023.pdf,Renamed,115_Clean Science and Technology Ltd._2023_2024.pdf,Not Found,
Coal India,COALINDIA,116,Not Found,,Not Found,,Not Found,
Cochin Shipyard,COCHINSHIP,117,Not Found,,Not Found,,Not Found,
Coforge,COFORGE,118,Not Found,,Not Found,,Not Found,
Cohance Lifesciences,COHANCE,119,Not Found,,Not Found,,Not Found,
Colgate Palmolive (India),COLPAL,120,Not Found,,Not Found,,Not Found,
Computer Age Management Services,CAMS,121,Not Found,,Not Found,,Not Found,
Concord Biotech,CONCORDBIO,122,Not Found,,Not Found,,Not Found,
Container Corporation of India,CONCOR,123,Not Found,,Not Found,,Not Found,
Coromandel International,COROMANDEL,124,Not Found,,Not Found,,Not Found,
Craftsman Automation,CRAFTSMAN,125,Not Found,,Not Found,,Not Found,
CreditAccess Grameen,CREDITACC,126,Not Found,,Not Found,,Not Found,
Crompton Greaves Consumer Electricals,CROMPTON,127,Not Found,,Not Found,,Not Found,
Cummins India,CUMMINSIND,128,Not Found,,Not Found,,Not Found,
Cyient,CYIENT,129,Not Found,,Not Found,,Not Found,
DCM Shriram,DCMSHRIRAM,130,Not Found,,Not Found,,Not Found,
DLF,DLF,131,Not Found,,Not Found,,Not Found,
DOMS Industries,DOMS,132,Not Found,,Renamed,132_DOMS Industries Ltd._2023_2024.pdf,Renamed,132_DOMS Industries Ltd._2024_2025.pdf
Dabur India,DABUR,133,Renamed,133_Dabur India Ltd._2022_2023.pdf,Renamed,133_Dabur India Ltd._2023_2024.pdf,Renamed,133_Dabur India Ltd._2024_2025.pdf
Dalmia Bharat,DALBHARAT,134,Not Found,,Not Found,,Not Found,
Data Patterns (India),DATAPATTNS,135,Not Found,,Not Found,,Not Found,
Deepak Fertilisers & Petrochemicals Corp.,DEEPAKFERT,136,Not Found,,Not Found,,Not Found,
Deepak Nitrite,DEEPAKNTR,137,Not Found,,Not Found,,Not Found,
Delhivery,DELHIVERY,138,Not Found,,Not Found,,Not Found,
Devyani International,DEVYANI,139,Not Found,,Not Found,,Not Found,
Divi's Laboratories,DIVISLAB,140,Not Found,,Not Found,,Not Found,
Dixon Technologies (India),DIXON,141,Not Found,,Not Found,,Not Found,
Dr. Lal Path Labs,LALPATHLAB,142,Not Found,,Not Found,,Renamed,142_Dr. Lal Path Labs Ltd._2024_2025.pdf
Dr. Reddy's Laboratories,DRREDDY,143,Not Found,,Not Found,,Not Found,
Dummy Valor Estate,DUMMYDBRLT,144,Not Found,,Not Found,,Not Found,
E.I.D. Parry (India),EIDPARRY,145,Not Found,,Not Found,,Not Found,
EIH,EIHOTEL,146,Not Found,,Not Found,,Not Found,
Eicher Motors,EICHERMOT,147,Not Found,,Not Found,,Not Found,
Elecon Engineering Co.,ELECON,148,Not Found,,Not Found,,Not Found,
Elgi Equipments,ELGIEQUIP,149,Not Found,,Not Found,,Not Found,
Emami,EMAMILTD,150,Not Found,,Not Found,,Not Found,
Emcure Pharmaceuticals,EMCURE,151,Not Found,,Not Found,,Not Found,
Endurance Technologies,ENDURANCE,152,Not Found,,Not Found,,Not Found,
Engineers India,ENGINERSIN,153,Not Found,,Not Found,,Not Found,
Eris Lifesciences,ERIS,154,Not Found,,Not Found,,Not Found,
Escorts Kubota,ESCORTS,155,Not Found,,Not Found,,Not Found,
Eternal,ETERNAL,156,Not Found,,Not Found,,Not Found,
Exide Industries,EXIDEIND,157,Not Found,,Not Found,,Not Found,
FSN E-Commerce Ventures,NYKAA,158,Not Found,,Not Found,,Not Found,
Federal Bank,FEDERALBNK,159,Not Found,,Not Found,,Not Found,
Fertilisers and Chemicals Travancore,FACT,160,Not Found,,Not Found,,Not Found,
Finolex Cables,FINCABLES,161,Not Found,,Not Found,,Not Found,
Finolex Industries,FINPIPE,162,Not Found,,Not Found,,Not Found,
Firstsource Solutions,FSL,163,Not Found,,Not Found,,Not Found,
Five-Star Business Finance,FIVESTAR,164,Not Found,,Not Found,,Not Found,
Fortis Healthcare,FORTIS,165,Not Found,,Not Found,,Not Found,
GAIL (India),GAIL,166,Renamed,166_GAIL (India) Ltd._2022_2023.pdf,Renamed,166_GAIL (India) Ltd._2023_2024.pdf,Renamed,166_GAIL (India) Ltd._2024_2025.pdf
GE Vernova T&D India,GVT&D,167,Not Found,,Not Found,,Not Found,
GMR Airports,GMRAIRPORT,168,Renamed,168_GMR Airports Ltd._2022_2023.pdf,Renamed,168_GMR Airports Ltd._2023_2024.pdf,Renamed,168_GMR Airports Ltd._2024_2025.pdf
Garden Reach Shipbuilders & Engineers,GRSE,169,Not Found,,Not Found,,Not Found,
General Insurance Corporation of India,GICRE,170,Not Found,,Not Found,,Not Found,
Gillette India,GILLETTE,171,Renamed,171_Gillette India Ltd._2022_2023.pdf,Renamed,171_Gillette India Ltd._2023_2024.pdf,Renamed,171_Gillette India Ltd._2024_2025.pdf
Gland Pharma,GLAND,172,Not Found,,Not Found,,Not Found,
Glaxosmithkline Pharmaceuticals,GLAXO,173,Not Found,,Not Found,,Not Found,
Glenmark Pharmaceuticals,GLENMARK,174,Not Found,,Not Found,,Not Found,
Global Health,MEDANTA,175,Not Found,,Not Found,,Not Found,
Go Digit General Insurance,GODIGIT,176,Not Found,,Not Found,,Not Found,
Godawari Power & Ispat,GPIL,177,Not Found,,Not Found,,Not Found,
Godfrey Phillips India,GODFRYPHLP,178,Not Found,,Not Found,,Not Found,
Godrej Agrovet,GODREJAGRO,179,Not Found,,Not Found,,Not Found,
Godrej Consumer Products,GODREJCP,180,Not Found,,Not Found,,Not Found,
Godrej Industries,GODREJIND,181,Not Found,,Not Found,,Not Found,
Godrej Properties,GODREJPROP,182,Not Found,,Not Found,,Not Found,
Granules India,GRANULES,183,Not Found,,Not Found,,Not Found,
Graphite India,GRAPHITE,184,Not Found,,Not Found,,Not Found,
Grasim Industries,GRASIM,185,Not Found,,Not Found,,Not Found,
Gravita India,GRAVITA,186,Not Found,,Not Found,,Not Found,
Great Eastern Shipping Co.,GESHIP,187,Not Found,,Not Found,,Not Found,
Gujarat Fluorochemicals,FLUOROCHEM,188,Not Found,,Not Found,,Not Found,
Gujarat Gas,GUJGASLTD,189,Not Found,,Not Found,,Not Found,
Gujarat Mineral Development Corporation,GMDCLTD,190,Not Found,,Not Found,,Not Found,
Gujarat Narmada Valley Fertilizers and Chemicals,GNFC,191,Not Found,,Not Found,,Not Found,
Gujarat Pipavav Port,GPPL,192,Not Found,,Not Found,,Not Found,
Gujarat State Petronet,GSPL,193,Not Found,,Not Found,,Not Found,
H.E.G.,HEG,194,Not Found,,Not Found,,Not Found,
HBL Engineering,HBLENGINE,195,Not Found,,Not Found,,Not Found,
HCL Technologies,HCLTECH,196,Not Found,,Not Found,,Not Found,
HDFC Asset Management Company,HDFCAMC,197,Not Found,,Not Found,,Not Found,
HDFC Bank,HDFCBANK,198,Not Found,,Not Found,,Not Found,
HDFC Life Insurance Company,HDFCLIFE,199,Not Found,,Not Found,,Not Found,
HFCL,HFCL,200,Not Found,,Not Found,,Not Found,
Happiest Minds Technologies,HAPPSTMNDS,201,Not Found,,Not Found,,Not Found,
Havells India,HAVELLS,202,Not Found,,Not Found,,Not Found,
Hero MotoCorp,HEROMOTOCO,203,Not Found,,Not Found,,Not Found,
Himadri Speciality Chemical,HSCL,204,Not Found,,Not Found,,Not Found,
Hindalco Industries,HINDALCO,205,Not Found,,Not Found,,Not Found,
Hindustan Aeronautics,HAL,206,Not Found,,Not Found,,Not Found,
Hindustan Copper,HINDCOPPER,207,Not Found,,Not Found,,Not Found,
Hindustan Petroleum Corporation,HINDPETRO,208,Not Found,,Not Found,,Not Found,
Hindustan Unilever,HINDUNILVR,209,Not Found,,Not Found,,Not Found,
Hindustan Zinc,HINDZINC,210,Not Found,,Not Found,,Not Found,
Hitachi Energy India,POWERINDIA,211,Not Found,,Not Found,,Not Found,
Home First Finance Company India,HOMEFIRST,212,Not Found,,Not Found,,Not Found,
Honasa Consumer,HONASA,213,Not Found,,Not Found,,Not Found,
Honeywell Automation India,HONAUT,214,Not Found,,Not Found,,Not Found,
Housing & Urban Development Corporation,HUDCO,215,Not Found,,Not Found,,Not Found,
Hyundai Motor India,HYUNDAI,216,Not Found,,Not Found,,Not Found,
ICICI Bank,ICICIBANK,217,Not Found,,Not Found,,Not Found,
ICICI Lombard General Insurance Company,ICICIGI,218,Not Found,,Not Found,,Not Found,
ICICI Prudential Life Insurance Company,ICICIPRULI,219,Not Found,,Not Found,,Not Found,
IDBI Bank,IDBI,220,Not Found,,Not Found,,Not Found,
IDFC First Bank,IDFCFIRSTB,221,Not Found,,Not Found,,Not Found,
IFCI,IFCI,222,Not Found,,Not Found,,Not Found,
IIFL Finance,IIFL,223,Not Found,,Not Found,,Not Found,
INOX India,INOXINDIA,224,Not Found,,Not Found,,Not Found,
IRB Infrastructure Developers,IRB,225,Not Found,,Not Found,,Not Found,
IRCON International,IRCON,226,Not Found,,Not Found,,Not Found,
ITC,ITC,227,Not Found,,Not Found,,Not Found,
ITI,ITI,228,Not Found,,Not Found,,Not Found,
Indegene,INDGN,229,Not Found,,Not Found,,Not Found,
India Cements,INDIACEM,230,Not Found,,Not Found,,Not Found,
Indiamart Intermesh,INDIAMART,231,Not Found,,Not Found,,Not Found,
Indian Bank,INDIANB,232,Not Found,,Not Found,,Not Found,
Indian Energy Exchange,IEX,233,Not Found,,Not Found,,Not Found,
Indian Hotels Co.,INDHOTEL,234,Not Found,,Not Found,,Not Found,
Indian Oil Corporation,IOC,235,Not Found,,Not Found,,Not Found,
Indian Overseas Bank,IOB,236,Not Found,,Not Found,,Not Found,
Indian Railway Catering And Tourism Corporation,IRCTC,237,Not Found,,Not Found,,Not Found,
Indian Railway Finance Corporation,IRFC,238,Not Found,,Not Found,,Not Found,
Indian Renewable Energy Development Agency,IREDA,239,Not Found,,Not Found,,Not Found,
Indraprastha Gas,IGL,240,Not Found,,Not Found,,Not Found,
Indus Towers,INDUSTOWER,241,Not Found,,Not Found,,Not Found,
IndusInd Bank,INDUSINDBK,242,Not Found,,Not Found,,Not Found,
Info Edge (India),NAUKRI,243,Not Found,,Not Found,,Not Found,
Infosys,INFY,244,Not Found,,Not Found,,Not Found,
Inox Wind,INOXWIND,245,Not Found,,Not Found,,Not Found,
Intellect Design Arena,INTELLECT,246,Not Found,,Not Found,,Not Found,
InterGlobe Aviation,INDIGO,247,Not Found,,Renamed,247_InterGlobe Aviation Ltd._2023_2024.pdf,Renamed,247_InterGlobe Aviation Ltd._2024_2025.pdf
International Gemmological Institute (India),IGIL,248,Not Found,,Not Found,,Not Found,
Inventurus Knowledge Solutions,IKS,249,Not Found,,Not Found,,Not Found,
Ipca Laboratories,IPCALAB,250,Not Found,,Not Found,,Not Found,
J.B. Chemicals & Pharmaceuticals,JBCHEPHARM,251,Not Found,,Not Found,,Not Found,
J.K. Cement,JKCEMENT,252,Not Found,,Not Found,,Not Found,
JBM Auto,JBMA,253,Not Found,,Not Found,,Not Found,
JK Tyre & Industries,JKTYRE,254,Not Found,,Not Found,,Not Found,
JM Financial,JMFINANCIL,255,Not Found,,Not Found,,Not Found,
JSW Energy,JSWENERGY,256,Not Found,,Not Found,,Not Found,
JSW Holdings,JSWHL,257,Not Found,,Not Found,,Not Found,
JSW Infrastructure,JSWINFRA,258,Not Found,,Not Found,,Not Found,
JSW Steel,JSWSTEEL,259,Not Found,,Not Found,,Not Found,
Jaiprakash Power Ventures,JPPOWER,260,Not Found,,Not Found,,Not Found,
Jammu & Kashmir Bank,J&KBANK,261,Not Found,,Not Found,,Not Found,
Jindal Saw,JINDALSAW,262,Not Found,,Not Found,,Not Found,
Jindal Stainless,JSL,263,Not Found,,Not Found,,Not Found,
Jindal Steel,JINDALSTEL,264,Not Found,,Not Found,,Not Found,
Jio Financial Services,JIOFIN,265,Not Found,,Not Found,,Not Found,
Jubilant Foodworks,JUBLFOOD,266,Not Found,,Not Found,,Not Found,
Jubilant Ingrevia,JUBLINGREA,267,Not Found,,Not Found,,Not Found,
Jubilant Pharmova,JUBLPHARMA,268,Not Found,,Not Found,,Not Found,
Jupiter Wagons,JWL,269,Not Found,,Not Found,,Not Found,
Justdial,JUSTDIAL,270,Not Found,,Not Found,,Not Found,
Jyothy Labs,JYOTHYLAB,271,Not Found,,Not Found,,Not Found,
Jyoti CNC Automation,JYOTICNC,272,Not Found,,Not Found,,Not Found,
K.P.R. Mill,KPRMILL,273,Not Found,,Not Found,,Not Found,
KEI Industries,KEI,274,Not Found,,Not Found,,Not Found,
KNR Constructions,KNRCON,275,Not Found,,Not Found,,Not Found,
KPIT Technologies,KPITTECH,276,Not Found,,Not Found,,Not Found,
Kajaria Ceramics,KAJARIACER,277,Not Found,,Not Found,,Not Found,
Kalpataru Projects International,KPIL,278,Not Found,,Not Found,,Not Found,
Kalyan Jewellers India,KALYANKJIL,279,Not Found,,Not Found,,Not Found,
Kansai Nerolac Paints,KANSAINER,280,Not Found,,Not Found,,Not Found,
Karur Vysya Bank,KARURVYSYA,281,Not Found,,Not Found,,Not Found,
Kaynes Technology India,KAYNES,282,Not Found,,Not Found,,Not Found,
Kec International,KEC,283,Not Found,,Not Found,,Not Found,
Kfin Technologies,KFINTECH,284,Not Found,,Not Found,,Not Found,
Kirloskar Brothers,KIRLOSBROS,285,Not Found,,Not Found,,Not Found,
Kirloskar Oil Eng,KIRLOSENG,286,Not Found,,Not Found,,Not Found,
Kotak Mahindra Bank,KOTAKBANK,287,Not Found,,Not Found,,Not Found,
Krishna Institute of Medical Sciences,KIMS,288,Not Found,,Not Found,,Not Found,
L&T Finance,LTF,289,Not Found,,Not Found,,Not Found,
L&T Technology Services,LTTS,290,Not Found,,Not Found,,Not Found,
LIC Housing Finance,LICHSGFIN,291,Not Found,,Not Found,,Not Found,
LT Foods,LTFOODS,292,Not Found,,Not Found,,Not Found,
LTIMindtree,LTIM,293,Not Found,,Not Found,,Not Found,
Larsen & Toubro,LT,294,Not Found,,Not Found,,Not Found,
Latent View Analytics,LATENTVIEW,295,Not Found,,Not Found,,Not Found,
Laurus Labs,LAURUSLABS,296,Not Found,,Not Found,,Not Found,
Lemon Tree Hotels,LEMONTREE,297,Not Found,,Not Found,,Not Found,
Life Insurance Corporation of India,LICI,298,Not Found,,Not Found,,Not Found,
Linde India,LINDEINDIA,299,Not Found,,Not Found,,Not Found,
Lloyds Metals And Energy,LLOYDSME,300,Not Found,,Not Found,,Not Found,
Lodha Developers,LODHA,301,Not Found,,Not Found,,Not Found,
